height_of_video_wall,width_of_video_wall,room_length,room_width,room_height,seating_type,number_of_seats,distance_from_video_wall,seats_per_row,number_of_rows,seats_per_cluster,number_of_clusters
3.1236203565420873,3.1479652509351688,13.92558525603859,15.745138924715674,4.501985573992575,row,53,7.783895805538563,12.0,5.0,,
4.852142919229749,4.396653315824254,13.704681986079997,17.356858163487843,5.319013152549952,cluster,86,13.021697604694346,,,7.0,13.0
4.195981825434215,5.555310425567429,23.59381870781555,10.256082684302488,5.160563254265557,row,91,16.786412709197386,17.0,6.0,,
3.79597545259111,5.0627871024334645,13.743192997742591,15.123363294890986,3.038649666428208,cluster,50,8.429475910359638,,,4.0,13.0
2.4680559213273097,5.3229640175150745,14.079245891929464,14.432697780868732,3.022373144095159,cluster,94,6.155511769031873,,,9.0,11.0
2.467983561008608,4.805741783487511,21.390973936269454,17.826794898247524,3.4386102871071964,row,90,5.411935297796276,20.0,5.0,,
2.1742508365045983,4.922967975812483,16.7460976367581,18.779131786256386,3.76376154219363,cluster,85,4.681232320058752,,,3.0,29.0
4.598528437324806,5.472184780478617,21.650658354327717,7.158038029206028,3.929594534929689,cluster,89,13.182875525439897,,,6.0,15.0
3.8033450352296265,3.3738380310071507,10.980492363465778,15.762258947764305,4.878940258916709,row,60,15.744317600444504,9.0,7.0,,
4.124217733388137,4.212987372750992,17.313567905100765,7.673865388556477,2.698381512580424,row,82,8.776159660034285,4.0,21.0,,
2.0617534828874073,3.274233046368608,10.504204002749239,14.135162646005627,2.6213544647912324,row,51,5.894854723393498,1.0,51.0,,
4.909729556485983,5.9568380279882645,10.939798051830318,10.739225477567818,3.8716869703036814,row,39,17.27376876155048,2.0,20.0,,
4.497327922401265,5.804207688903146,23.596561800166164,10.988095793787835,4.940072922482932,cluster,76,7.701572914860571,,,5.0,16.0
2.6370173320348282,2.637993839789771,12.088680566763927,11.588460544880636,3.177023700347689,row,69,4.611754675548797,10.0,7.0,,
2.5454749016213016,4.96951310380491,17.986310234128258,15.07680183764493,4.74526568439688,row,99,11.96464604537992,15.0,7.0,,
2.5502135295603017,5.73836911095483,16.166434039010596,11.342649553693999,3.4093984827910484,row,44,9.578361225841272,1.0,44.0,,
2.912726728878613,3.132013707945667,15.21014989388264,16.525087657673645,5.601301380847307,row,31,9.021705131686376,11.0,3.0,,
3.5742692948967134,4.487808306934204,23.497500185309086,12.258856012460306,5.634914804933158,row,90,12.205201207368253,23.0,4.0,,
3.2958350559263474,5.704209041558146,10.327350951632342,7.888591604029462,3.540505214984643,cluster,58,2.0824651206103195,,,5.0,12.0
2.8736874205941256,2.618810925050296,19.956845292633837,17.188877952293396,3.3049781388713417,row,36,9.429899935746638,6.0,6.0,,
3.8355586841671383,4.940970935363939,24.450916513203257,10.714858219705178,3.9395639022318094,cluster,64,10.711909667182425,,,5.0,13.0
